code: 0.0,15459.8396,4518.6625
code: 1.0,15152.6256,5112.9942
code: 2.0,15915.2470,5103.4917
code: 3.0,15565.8099,4660.3463
code: 4.0,15752.1367,4813.0562
code: 5.0,16004.6706,5206.0484
code: 6.0,15065.4834,4877.6460
code: 7.0,15630.1629,4933.6960
code: 8.0,15620.7794,4553.6851
code: 9.0,15142.6070,4770.5784
code: 10.0,15950.2995,4537.3238
code: 11.0,15870.8574,4723.1233
code: 12.0,15863.9301,5003.5838
code: 13.0,15524.3497,4988.0119
code: 14.0,15151.7489,4893.2806
code: 15.0,15616.7207,4751.9157
code: 16.0,15734.1387,4918.5686
code: 17.0,16109.2353,4804.0142
code: 18.0,15493.1187,4640.1531
code: 19.0,15318.0612,5178.5927
code: 20.0,15894.8483,4748.5435
code: 21.0,15621.2615,4929.6109
code: 22.0,16021.8246,4554.3879
code: 23.0,15106.7350,4753.7055
code: 24.0,15242.7255,4646.4274
code: 25.0,16121.0551,4722.2143
code: 26.0,15908.1186,4591.6547
code: 27.0,15473.7828,4561.6785
code: 28.0,15772.5992,4813.5089
code: 29.0,15857.7142,4827.8585
code: 30.0,15081.1301,5195.0124
code: 31.0,15878.0561,4710.8168
code: 32.0,15968.1364,4945.3501
code: 33.0,15893.7551,4636.0282
code: 34.0,15970.9172,4915.6740
code: 35.0,16005.6296,4566.1765
code: 36.0,15987.2540,5009.6081
code: 37.0,15723.2525,4532.8884
code: 38.0,15263.8716,5005.9591
code: 39.0,15429.2070,4967.2058
code: 40.0,15353.9255,5010.7048
code: 41.0,15424.1139,4742.3258
code: 42.0,15323.6459,5085.6415
code: 43.0,15939.6340,4633.1911
code: 44.0,15368.8359,4975.2532
code: 45.0,15734.3368,5119.1323
code: 46.0,15474.4044,5178.6116
code: 47.0,15395.0977,4929.7725
code: 48.0,15391.1249,4937.4166
code: 49.0,15967.0635,4974.3051
code: 50.0,15693.8932,4553.1067
code: 51.0,15245.5028,4581.6059
code: 52.0,15646.9524,5201.3903
code: 53.0,16068.8170,4949.3432
code: 54.0,15779.1989,4603.3914
code: 55.0,15570.0064,4636.3063
code: 56.0,16113.2053,5076.6590
code: 57.0,15548.5844,4519.1491
code: 58.0,15706.5386,4801.7186
code: 59.0,15869.7260,5066.9259
code: 60.0,16028.2611,4906.3488
code: 61.0,15832.0612,4936.5514
code: 62.0,15382.8481,5006.9183
code: 63.0,15969.1093,4799.9480
code: 64.0,15776.8085,4769.2343
code: 65.0,15188.4495,4739.3687
code: 66.0,15515.5734,4916.0767
code: 67.0,15937.5408,4796.8674
code: 68.0,16027.3326,5216.9978
code: 69.0,16017.0020,4532.8765
code: 70.0,15179.8906,5127.4561
code: 71.0,15717.1207,5207.3500
code: 72.0,15584.8337,5134.2462
code: 73.0,15612.8999,5015.5434
code: 74.0,15280.9917,5020.0785
code: 75.0,15361.8132,5134.5957
code: 76.0,15411.1100,4754.3774
code: 77.0,15716.7116,4929.3587
code: 78.0,15631.5904,4790.0923
code: 79.0,15789.4214,4750.9428
code: 80.0,15888.8204,5069.2085
code: 81.0,15295.6274,5103.9937
code: 82.0,15732.3720,5062.3350
code: 83.0,15657.0700,5176.7903
code: 84.0,15173.4801,4787.8700
code: 85.0,16025.6396,4714.1389
code: 86.0,15560.9005,5048.0103
code: 87.0,15731.5443,4803.6409
code: 88.0,15290.6212,4891.2101
code: 89.0,15065.3002,5018.6540
code: 90.0,15493.8720,5108.7916
code: 91.0,15245.5705,5162.8641
code: 92.0,15219.2413,4525.5092
code: 93.0,15547.9580,4854.7553
code: 94.0,15066.2013,4640.8420
code: 95.0,15267.7107,4994.8919
